Siglum	Source	RISM_abbrev
I-RvatH	"Rome, Biblioteca Apostolica Vaticana 9340"	I-Rvat 9340
I-Sas207	"Siena, Archivio di Stato, frammento 327"	I-Sas 327
I-TRc1563	"Trent, Biblioteca Communale MS 1563 (on deposit at Museo Provinciale d'Arte, Castello del Buon Consiglio)"	I-TRc1563
Innsbr	"Innsbruck, Universitätsbibliothek 457"	A-Iu 457
Iv	"Ivrea, Biblioteca Capitolare 115"	I-IV 115
IvA	"Ivrea, Biblioteca Capitolare LXVIII (71)"	I-IV 68
IvB	"Ivrea, Biblioteca Capitolare CV (104)"	I-IV 105
KarA	"Karlsruhe, Badische Landesbibliothek, St. Peter Perg. 29a"	D-KarA
KarC	"Karlsruhe, Badische Landesbibliothek, St. Peter Perg. 16"	D-KarC
Kras	"Warsaw, National Library III. 8054 (olim Krasinski 52)"	PL-Wn 52
Kraus	"New York, H. P. Kraus Collection"	US-NYk
Leeds	"London, British Library 62132 A (olim Leeds VR 6120, olim Studley Royal)"	GB-Lbl 62132A
LehmanA	"New York, [formerly] Robert Lehman Collection (formerly Smith Collection, Worcester, Mass.)"	US-NYl A
LehmanB	"New York, [formerly] Robert Lehman Collection"	US-NYl B
LeidenA	"Leiden, Universiteitsbibliotheek B.P.L. 2720"	NL-Lu 2720
LeidenB	"Leiden, Universiteitsbibliotheek, Fragment L.T.K. 342A"	NL-Lu 342A
LeidenC	"Leiden, Universiteitsbibliotheek, Fragment B.P.L. 2515"	NL-Lu 2515
Lille	"Lille, Archives Départementales du Nord 134"	F-Lan 134
Limoges	"Limoges, Bibliothèque Municipale 2 (17)"	F-Limoges
Lincoln	"Lincoln, Library of the Dean and Chapter 52 (binding fragments)"	GB-LIc 52
LincolnB	"London, Lincoln's Inn, Misc. 1 (Misc. 45)"	GB-Lli 1
LincolnC	"London, Lincoln's Inn, Hale 146 (Misc. 26)"	GB-Lli 146
Lo	"London, British Library, Additional 29987"	GB-Lbl 29987
